Modelo,Acuracia,Precisao,Recall,F1-Score,ROC-AUC
Random Forest (class_weight=balanced),0.9082969432314411,0.72,0.5625,0.631578947368421,0.9103743654822335
Random Forest + SMOTE,0.8777292576419214,0.5526315789473685,0.65625,0.6,0.9098191624365483
Random Forest (baseline, sem SMOTE),0.8951965065502183,0.6538461538461539,0.53125,0.5862068965517241,0.9236992385786802
Naive Bayes (baseline, sem SMOTE),0.8253275109170306,0.4090909090909091,0.5625,0.4736842105263158,0.8261419753086421
Naive Bayes + SMOTE,0.7816593886462883,0.35,0.65625,0.45652173913043476,0.8110723350253807
