0
alcohol,0.14948117253964463
alcohol_density_ratio,0.14111406165143836
sulphates,0.11685226589611164
acid_ratio,0.11191418271691185
citric acid,0.080898890468759
volatile acidity,0.06434158169119664
total sulfur dioxide,0.0445310975518538
fixed acidity,0.04113202470270926
total_acidity,0.03656858508911608
sugar_alcohol,0.036388720547494285
pH,0.03407405391815803
density,0.03288926116915435
free sulfur dioxide,0.02997155243000089
free_so2_ratio,0.02933885300730995
chlorides,0.027457286993352762
residual sugar,0.023046409626788417
